date	version	count
2017-11-19	1.28.0	1939
2017-11-19	1.29.2	1438
2017-11-19	1.30.0 (ALPHA)	349
2017-11-19	1.31.0 (ALPHA)	204
2017-11-19	1.29.0 (ALPHA)	81
2017-11-19	1.29.0 (RC)	44
2017-11-19	1.30.0 (WMF)	34
2017-11-19	1.31.0 (WMF)	10
2017-11-19	1.30.0 (RC)	10
2017-11-19	1.29.0 (WMF)	10
2017-11-19	1.28.3	9
2017-11-19	1.28.0 (RC)	2
2017-11-19	1.28.0 (ALPHA)	1
2017-11-26	1.29.1	9777
2017-11-26	1.28.2	8068
2017-11-26	1.29.0	4816
2017-11-26	1.29.2	2592
2017-11-26	1.28.1	2471
2017-11-26	1.28.0	1948
2017-11-26	1.30.0 (ALPHA)	349
2017-11-26	1.31.0 (ALPHA)	224
2017-11-26	1.29.0 (ALPHA)	80
2017-11-26	1.29.0 (RC)	44
2017-11-26	1.30.0 (WMF)	36
2017-11-26	1.28.3	20
2017-11-26	1.30.0 (RC)	12
2017-11-26	1.31.0 (WMF)	10
2017-11-26	1.29.0 (WMF)	10
2017-11-26	1.28.0 (RC)	2
2017-11-26	1.28.0 (ALPHA)	2
2017-11-26	1.25.3	1
2017-12-03	1.29.1	9786
2017-12-03	1.28.2	8117
2017-12-03	1.29.0	4830
2017-12-03	1.29.2	3470
2017-12-03	1.28.1	2475
2017-12-03	1.28.0	1958
2017-12-03	1.30.0 (ALPHA)	346
2017-12-03	1.31.0 (ALPHA)	238
2017-12-03	1.29.0 (ALPHA)	80
2017-12-03	1.29.0 (RC)	44
2017-12-03	1.30.0 (RC)	36
2017-12-03	1.30.0 (WMF)	36
2017-12-03	1.28.3	24
2017-12-03	1.31.0 (WMF)	10
2017-12-03	1.29.0 (WMF)	10
2017-12-03	1.30.0	4
2017-12-03	1.28.0 (RC)	2
2017-12-03	1.28.0 (ALPHA)	2
2017-12-03	1.25.3	1
2017-12-10	1.29.1	9789
2017-12-10	1.28.2	8164
2017-12-10	1.29.0	4844
2017-12-10	1.29.2	3766
